Date,Time,Trade Id,Ask,Bid,Price,Size,Volume
10/3/2017,0:00:01,11498308,296.78,296.77,296.78,0.00335942,62556.55928
10/3/2017,0:00:03,11498314,296.8,296.77,296.8,0.00023514,62556.55928
10/3/2017,0:00:05,11498315,296.78,296.77,296.77,0.02,62556.55928
10/3/2017,0:00:09,11498317,296.78,296.77,296.77,0.4252,62556.55928
10/3/2017,0:00:41,11498318,296.78,296.77,296.78,4.64,62571.44752
10/3/2017,0:00:50,11498319,296.78,296.77,296.78,0.00006718,62571.44752
10/3/2017,0:01:03,11498320,296.78,296.77,296.78,0.00003359,62571.44752
10/3/2017,0:33:34,11498876,297.93,297.92,297.93,0.99700897,61772.57734
10/3/2017,0:33:51,11498877,297.93,297.92,297.93,0.5004,61772.57734
10/3/2017,0:34:03,11498878,297.93,297.92,297.93,0.00003346,61707.82736
10/3/2017,0:34:23,11498893,297.82,297.81,297.81,0.02,61707.82736
10/3/2017,0:34:29,11498910,297.8,297.7,297.59,1.47789259,61707.82736
10/3/2017,0:34:32,11498911,297.71,297.7,297.7,4.9977392,61707.82736
10/3/2017,0:34:54,11498917,297.71,297.7,297.71,1.072663,61521.45546
10/3/2017,0:35:02,11498918,297.71,297.7,297.71,0.00003348,61521.45546
10/3/2017,0:35:25,11498919,297.71,297.7,297.71,3.49,61521.45546
10/3/2017,0:35:26,11498920,297.71,297.7,297.71,0.00006697,61521.45546
10/3/2017,0:35:56,11498921,297.71,297.7,297.71,0.1815,61520.31985
10/3/2017,0:36:03,11498922,297.71,297.7,297.71,0.00003348,61520.31985
10/3/2017,0:36:03,11498923,297.71,297.7,297.71,0.00167446,61520.31985
10/3/2017,0:36:39,11498924,297.71,297.7,297.71,1.3876,61511.54094
10/3/2017,0:36:58,11498925,297.71,297.7,297.71,1.03816728,61511.54094
10/3/2017,0:37:02,11498926,297.71,297.7,297.71,0.00003348,61511.54094
10/3/2017,0:37:09,11498927,297.71,297.7,297.71,6.2742,61511.54094
10/3/2017,0:37:37,11498928,297.71,297.7,297.71,0.83723167,61417.51912
10/3/2017,0:37:40,11498929,297.71,297.7,297.71,1.1563,61417.51912
10/3/2017,0:38:03,11498931,297.71,297.7,297.71,0.00003348,61417.51912
10/3/2017,0:38:11,11498934,297.71,297.7,297.71,1.12738063,61390.77248
10/3/2017,0:39:02,11498935,297.71,297.7,297.71,0.00003348,61365.0833
10/3/2017,0:39:12,11498939,297.71,297.7,297.7,0.8799,61365.0833
10/3/2017,0:39:43,11498940,297.71,297.7,297.71,0.1401,61365.0833
10/3/2017,0:40:01,11498941,297.71,297.7,297.71,0.00334892,61319.47416
10/3/2017,0:40:03,11498942,297.71,297.7,297.71,0.00003348,61319.47416
10/3/2017,0:40:13,11498944,297.71,297.7,297.71,1.88739651,61319.47416
10/3/2017,0:40:19,11498945,297.71,297.7,297.71,0.00418615,61319.47416
10/3/2017,0:40:33,11498946,297.71,297.7,297.71,0.00006697,61319.47416
10/3/2017,0:40:45,11498947,297.71,297.7,297.71,0.8067,61038.70882
10/3/2017,0:41:02,11498948,297.71,297.7,297.71,0.00003348,61038.70882
10/3/2017,0:41:16,11498950,297.71,297.7,297.71,4.59188311,61038.70882
10/3/2017,0:41:46,11498951,297.71,297.7,297.71,0.4944,60507.98542
10/3/2017,0:42:03,11498953,297.71,297.7,297.71,0.00003348,60507.98542
10/3/2017,0:42:17,11498957,297.71,297.7,297.7,0.19549077,60220.96277
10/3/2017,0:42:27,11499061,297.48,297.25,296.94,4.72109004,60220.96277
10/3/2017,0:42:32,11499063,297.26,297.25,297.26,0.02353996,60220.96277
10/3/2017,0:42:36,11499064,297.26,297.25,297.25,0.04040295,60220.96277
10/3/2017,0:42:48,11499098,297.25,297.1,296.88,1.67729299,60220.96277
10/3/2017,0:43:02,11499099,297,296.99,297,0.00003356,60220.96277
10/3/2017,0:43:19,11499101,297,296.99,297,0.94763356,60288.43074
10/3/2017,0:43:50,11499102,297,296.99,297,0.50353988,60288.43074
10/3/2017,0:43:51,11499103,297,296.99,297,0.5839,60288.43074
10/3/2017,0:44:02,11499104,297,296.99,297,0.00003356,60181.88405
10/3/2017,0:44:04,11499105,297,296.99,297,0.03626638,60181.88405
10/3/2017,0:44:11,11499108,297,296.99,297,0.02,60181.88405
10/3/2017,0:44:22,11499132,297.21,297.15,297.22,0.01163937,60181.88405
10/3/2017,0:44:54,11499188,297.27,297.21,297.61,4.69494284,60090.40809
10/3/2017,0:44:54,11499189,297.27,297.26,297.25,0.015121,60090.40809
10/3/2017,0:45:02,11499190,297.27,297.26,297.27,0.00023477,60090.40809
10/3/2017,0:45:02,11499191,297.27,297.26,297.27,0.00003353,60090.40809
10/3/2017,0:45:25,11499192,297.27,297.26,297.26,0.02,60090.40809
10/3/2017,0:45:27,11499216,297.62,297.29,297.63,1.45289295,60090.40809
10/3/2017,0:45:33,11499217,297.63,297.62,297.63,0.00006699,60090.40809
10/3/2017,0:45:58,11499231,297.69,297.62,297.7,5.18789999,59394.22526
10/3/2017,0:46:02,11499232,297.63,297.62,297.65,0.00003349,59394.22526
10/3/2017,0:46:04,11499233,297.63,297.62,297.63,0.01413657,59394.22526
10/3/2017,0:46:15,11499234,297.63,297.62,297.63,0.66996537,59394.22526
10/3/2017,0:46:30,11499246,297.69,297.62,297.7,1.33476747,59206.80614
10/3/2017,0:46:34,11499247,297.63,297.62,297.63,0.4078,59206.80614
10/3/2017,0:46:36,11499277,297.78,297.68,297.78,202.4708477,59206.80614
10/3/2017,0:46:38,11499281,297.79,297.7,297.79,0.44063209,59206.80614
10/3/2017,0:47:01,11499299,297.8,297.79,297.8,0.71325309,59206.80614
10/3/2017,0:47:03,11499300,297.8,297.79,297.8,0.00003347,59206.80614
10/3/2017,0:47:33,11499301,297.8,297.79,297.8,0.9625,59576.58154
10/3/2017,0:48:02,11499302,297.8,297.79,297.8,0.00003347,59576.58154
10/3/2017,0:48:04,11499303,297.8,297.79,297.8,0.3767,59173.42768
10/3/2017,0:48:36,11499307,297.8,297.79,297.79,0.2582,59173.42768
10/3/2017,0:49:03,11499308,297.8,297.79,297.8,0.00003347,58938.03518
10/3/2017,0:49:07,11499309,297.8,297.79,297.79,1.7763,58938.03518
10/3/2017,0:49:11,11499310,297.8,297.79,297.79,0.02,58938.03518
10/3/2017,0:49:38,11499311,297.8,297.79,297.8,1.0035,58938.03518
10/3/2017,0:50:01,11499312,297.8,297.79,297.8,0.00334791,58918.65828
10/3/2017,0:50:02,11499313,297.8,297.79,297.8,0.00003347,58918.65828
10/3/2017,0:50:10,11499314,297.8,297.79,297.8,7.8181,58918.65828
10/3/2017,0:50:34,11499315,297.8,297.79,297.8,0.00006695,58918.65828
10/3/2017,0:50:42,11499320,297.8,297.79,297.8,4.47480183,58923.69841
10/3/2017,0:50:43,11499321,297.8,297.79,297.8,0.00418489,58923.69841
10/3/2017,0:51:02,11499322,297.8,297.79,297.8,0.00003347,58923.69841
10/3/2017,0:51:09,11499324,297.8,297.79,297.8,0.51094723,58923.69841
10/3/2017,0:51:13,11499325,297.8,297.79,297.8,1.0855,58923.69841
10/3/2017,0:51:20,11499326,297.8,297.79,297.8,0.92067651,58923.69841
10/3/2017,0:51:45,11499327,297.8,297.79,297.79,2.163,58906.19589
10/3/2017,0:52:02,11499328,297.8,297.79,297.8,0.00003347,58906.19589
10/3/2017,0:52:16,11499329,297.8,297.79,297.8,3.0887,58871.03218
10/3/2017,0:52:48,11499337,297.8,297.79,297.8,0.164831,58871.03218
10/3/2017,0:52:58,11499339,297.8,297.79,297.8,0.64441392,58871.03218
10/3/2017,0:53:02,11499340,297.8,297.79,297.8,0.00003347,58871.03218
10/3/2017,0:53:19,11499341,297.8,297.79,297.8,1.3243,58858.20127
10/3/2017,0:53:51,11499342,297.8,297.79,297.79,5.9041,58858.20127
10/3/2017,0:53:53,11499343,297.8,297.79,297.8,0.66958292,58858.20127
10/3/2017,0:54:03,11499344,297.8,297.79,297.8,0.00003347,58828.32875
10/3/2017,0:54:23,11499345,297.8,297.79,297.79,0.7504,58828.32875
10/3/2017,0:54:55,11499346,297.8,297.79,297.8,0.1333,58808.16936
10/3/2017,0:55:03,11499347,297.8,297.79,297.8,0.00003347,58808.16936
10/3/2017,0:55:25,11499348,297.8,297.79,297.8,0.00006695,58808.16936
10/3/2017,0:55:26,11499350,297.8,297.79,297.8,3.1079642,58808.16936
10/3/2017,0:56:00,11499351,297.8,297.79,297.8,1.2905,58738.49464
10/3/2017,0:56:03,11499352,297.8,297.79,297.8,0.00003347,58738.49464
10/3/2017,0:56:14,11499353,297.8,297.79,297.79,0.95058617,58738.49464
10/3/2017,0:56:31,11499354,297.8,297.79,297.8,4.9112,58349.53175
10/3/2017,0:57:02,11499356,297.8,297.79,297.8,0.00003347,58349.53175
10/3/2017,0:57:32,11499357,297.8,297.79,297.8,1.3636,58323.97381
10/3/2017,0:58:03,11499358,297.8,297.79,297.8,0.00003347,58323.97381
10/3/2017,0:58:04,11499359,297.8,297.79,297.79,3.7918,58252.86165
10/3/2017,0:58:22,11499360,297.8,297.79,297.79,14.93,58252.86165
10/3/2017,0:58:35,11499363,297.8,297.79,297.8,4.93176461,58252.86165
10/3/2017,0:59:02,11499364,297.8,297.79,297.8,0.00003347,58137.41799
10/3/2017,0:59:07,11499365,297.8,297.79,297.8,1.4778,58137.41799
10/3/2017,0:59:09,11499396,297.8,297.44,297.45,0.01,58137.41799
10/3/2017,0:59:09,11499409,297.62,297.61,297.27,0.32671556,58137.41799
10/3/2017,0:59:38,11499411,297.28,297.27,297.28,2.595143,58137.41799
10/3/2017,1:00:00,11499412,297.28,297.27,297.28,0.00335377,58089.31718
10/3/2017,1:00:03,11499414,297.28,297.27,297.28,0.00003353,58089.31718
10/3/2017,1:00:09,11499415,297.28,297.27,297.28,3.9045,58089.31718
10/3/2017,1:00:31,11499418,297.28,297.27,297.28,0.765197,58089.31718
10/3/2017,1:00:41,11499424,297.3,297.29,297.3,2.05299506,58119.68879
10/3/2017,1:00:48,11499425,297.32,297.31,297.32,0.00006706,58119.68879
10/3/2017,1:01:02,11499426,297.32,297.31,297.32,0.00003353,58119.68879
10/3/2017,1:01:10,11499427,297.32,297.31,297.32,0.00419164,58119.68879
10/3/2017,1:01:12,11499452,297.52,297.32,297.52,0.00052736,58119.68879
10/3/2017,1:01:44,11499480,297.68,297.52,297.68,0.35706679,58065.59003
10/3/2017,1:01:45,11499481,297.68,297.67,297.67,0.055396,58065.59003
10/3/2017,1:02:02,11499482,297.68,297.67,297.68,0.00003349,58065.59003
10/3/2017,1:02:15,11499485,297.68,297.67,297.67,0.130096,58065.59003
10/3/2017,1:02:29,11499487,297.68,297.67,297.67,0.80296541,58020.64393
10/3/2017,1:02:47,11499490,297.68,297.67,297.68,1.72099,58020.64393
10/3/2017,1:03:02,11499491,297.68,297.67,297.68,0.00003349,58020.64393
10/3/2017,1:03:19,11499492,297.68,297.67,297.68,4.7196,57976.95539
10/3/2017,1:03:21,11499498,297.61,297.6,297.66,0.29264844,57976.95539
10/3/2017,1:03:36,11499514,297.61,297.41,297.4,2.49308041,57976.95539
10/3/2017,1:03:50,11499537,297.71,297.45,297.71,0.864187,57976.95539
10/3/2017,1:04:03,11499538,297.59,297.58,297.59,0.0000335,57988.799
10/3/2017,1:04:22,11499562,297.73,297.72,297.73,0.27925074,57988.799
10/3/2017,1:04:54,11499564,297.73,297.72,297.73,3.388836,57990.09939
10/3/2017,1:05:02,11499565,297.73,297.72,297.73,0.00003348,57990.09939
10/3/2017,1:05:26,11499566,297.73,297.72,297.73,5.4915,57990.09939
10/3/2017,1:05:28,11499567,297.73,297.72,297.73,0.00006697,57990.09939
10/3/2017,1:05:57,11499568,297.73,297.72,297.73,7.5721,57879.55156
10/3/2017,1:06:02,11499570,297.73,297.72,297.73,0.00167435,57879.55156
10/3/2017,1:06:02,11499571,297.73,297.72,297.73,0.00003348,57879.55156
10/3/2017,1:06:13,11499572,297.73,297.72,297.73,7.50121102,57879.55156
10/3/2017,1:06:29,11499573,297.73,297.72,297.73,6.2441,57839.15023
10/3/2017,1:07:01,11499577,297.73,297.72,297.72,1.1613,57839.15023
10/3/2017,1:07:02,11499578,297.73,297.72,297.73,0.00003348,57839.15023
10/3/2017,1:07:32,11499579,297.73,297.72,297.73,1.1552,57804.84949
10/3/2017,1:07:55,11499580,297.73,297.72,297.73,0.15641785,57804.84949
10/3/2017,1:08:03,11499581,297.73,297.72,297.73,0.00003348,57804.84949
10/3/2017,1:08:04,11499582,297.73,297.72,297.73,1.5111,57804.84949
10/3/2017,1:08:35,11499583,297.73,297.72,297.73,7.4361,57819.77509
10/3/2017,1:09:02,11499584,297.73,297.72,297.73,0.00003348,57765.11499
10/3/2017,1:09:07,11499585,297.73,297.72,297.73,3.3944,57765.11499
10/3/2017,1:09:39,11499587,297.73,297.72,297.73,6.26833348,57765.11499
10/3/2017,1:10:01,11499588,297.73,297.72,297.73,0.0033487,57769.49309
